City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
64,vikasnagar,30.4683,77.775,27.52000000000004,71,90,0.97,IN,1689824019
65,papatowai,-46.5619,169.4708,6.5400000000000205,64,5,4.55,NZ,1689824020
66,uturoa,-16.7333,-151.4333,25.140000000000043,69,100,9.96,PF,1689824020
67,touros,-5.1989,-35.4608,22.49000000000001,86,8,5.82,BR,1689824020
68,lompoc,34.6391,-120.4579,20.08000000000004,91,100,4.12,US,1689824020
69,margaret river,-33.95,115.0667,14.700000000000045,70,88,7.54,AU,1689824020
70,bredasdorp,-34.5322,20.0403,8.520000000000039,73,73,1.56,ZA,1689824020
71,saint croix,17.7397,-64.7388,27.25,78,100,5.14,VI,1689824020
72,atar,20.5169,-13.0499,31.200000000000045,44,56,4.11,MR,1689824021
73,aykhal,66.0,111.5,19.52000000000004,53,97,5.15,RU,1689824021
74,chonchi,-42.6128,-73.8092,11.560000000000002,97,100,2.35,CL,1689824021
75,thompson,55.7435,-97.8558,19.090000000000032,68,75,0.0,CA,1689824021
76,broome,42.2506,-75.833,18.150000000000034,92,7,0.94,US,1689824021
77,huarmey,-10.0681,-78.1522,19.79000000000002,84,76,2.74,PE,1689824021
78,zhumysker,49.3333,49.4,21.77000000000004,54,73,3.06,KZ,1689824022
79,wailua homesteads,22.0669,-159.378,30.24000000000001,84,100,8.23,US,1689824022
80,quelimane,-17.8786,36.8883,17.57000000000005,94,0,1.61,MZ,1689824022
81,adrar,20.5022,-10.0711,32.48000000000002,30,89,6.4,MR,1689824022
82,mogocha,53.7333,119.7667,22.430000000000007,29,4,4.42,RU,1689824022
83,longyearbyen,78.2186,15.6401,9.910000000000025,76,0,1.54,SJ,1689824022
84,puerto baquerizo moreno,-0.9,-89.6,25.220000000000027,82,58,4.52,EC,1689824023
85,sabang,5.8933,95.3214,28.939999999999998,75,99,10.66,ID,1689824023
86,vilyuysk,63.7553,121.6247,23.370000000000005,51,41,3.27,RU,1689824023
87,punta arenas,-53.15,-70.9167,1.990000000000009,93,100,3.68,CL,1689824023
88,saint-philippe,-21.3585,55.7679,21.77000000000004,87,43,5.35,RE,1689824023
89,shiyan,32.6475,110.7781,32.27000000000004,56,100,1.76,CN,1689824024
90,anadyr,64.75,177.4833,17.28000000000003,67,40,5.0,RU,1689824024
91,horki,54.2861,30.9842,13.520000000000039,78,97,4.25,BY,1689824024
92,west island,-12.1568,96.8225,26.99000000000001,69,40,6.69,CC,1689824024
93,zaozersk,69.4005,32.4476,10.490000000000009,94,100,8.26,RU,1689824025
94,enewetak,11.3474,162.3373,28.689999999999998,78,71,4.73,MH,1689824025
95,yellowknife,62.456,-114.3525,24.29000000000002,41,75,2.06,CA,1689823826
96,ust-nera,64.5667,143.2,27.060000000000002,35,88,2.15,RU,1689824025
97,whitehorse,60.7161,-135.0538,23.900000000000034,30,75,5.66,CA,1689824025
98,palikir - national government center,6.9248,158.1611,31.410000000000025,66,75,2.06,FM,1689824025
99,kingston,17.997,-76.7936,29.53000000000003,76,20,7.2,JM,1689823481
100,haiku-pauwela,20.9219,-156.3051,25.28000000000003,86,75,9.26,US,1689824003
101,constantia,44.1833,28.65,23.379999999999995,67,1,3.78,RO,1689824026
102,san patricio,28.017,-97.5169,29.360000000000014,82,0,6.79,US,1689824026
103,port mathurin,-19.6833,63.4167,23.650000000000034,59,0,8.71,MU,1689824026
104,selfoss,63.9331,-20.9971,11.140000000000043,81,81,2.8,IS,1689824026
105,lebu,-37.6167,-73.65,12.879999999999995,92,100,7.31,CL,1689824026
106,xiaoweizhai,26.1903,107.5125,26.30000000000001,83,95,1.86,CN,1689824027
